"sim_number","bootstrap_num","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","carr_cap"
2,21,"petite","second",3626,4327,351465,648573,8654,1297146,270,441,28804,71393,882,142786,"10mill-boot"
2,22,"petite","second",3659,4253,359248,640770,8506,1281540,300,436,31195,68991,872,137982,"10mill-boot"
2,23,"petite","second",3731,4180,367792,632222,8360,1264444,324,426,33141,66891,852,133782,"10mill-boot"
2,24,"petite","second",3684,4244,358573,641490,8488,1282980,278,423,30564,69436,846,138872,"10mill-boot"
2,25,"petite","second",3622,4265,353308,646785,8530,1293570,274,456,27311,72700,912,145400,"10mill-boot"
2,26,"petite","second",3682,4264,360399,639656,8528,1279312,323,432,33225,66874,864,133748,"10mill-boot"
2,27,"petite","second",3666,4227,359790,640210,8454,1280420,278,438,29217,71305,876,142610,"10mill-boot"
2,28,"petite","second",3658,4226,361421,638629,8452,1277258,269,443,28295,71728,886,143456,"10mill-boot"
2,29,"petite","second",3708,4166,367351,632708,8332,1265416,288,420,30872,69199,840,138398,"10mill-boot"
2,30,"petite","second",3601,4310,347759,652366,8620,1304732,295,421,30104,70017,842,140034,"10mill-boot"
38,1,"petite","second",3753,4067,366190,633862,8134,1267724,271,424,29219,70867,848,141734,"10mill-boot"
38,2,"petite","second",3723,4140,356347,643894,8280,1287788,282,432,28255,71861,864,143722,"10mill-boot"
38,3,"petite","second",3749,4054,364532,635677,8108,1271354,306,414,32395,67646,828,135292,"10mill-boot"
38,4,"petite","second",3728,4110,364942,635102,8220,1270204,278,419,30018,70038,838,140076,"10mill-boot"
38,5,"petite","second",3851,4067,371207,628814,8134,1257628,282,412,28337,71689,824,143378,"10mill-boot"
38,6,"petite","second",3812,4025,368218,631898,8050,1263796,282,409,30268,69833,818,139666,"10mill-boot"
38,7,"petite","second",3780,4102,367736,632340,8204,1264680,262,456,28113,72061,912,144122,"10mill-boot"
38,8,"petite","second",3775,4117,364939,635167,8234,1270334,263,437,26607,73653,874,147306,"10mill-boot"
38,9,"petite","second",3832,3971,375546,624590,7942,1249180,306,403,30919,69405,806,138810,"10mill-boot"
38,10,"petite","second",3722,4078,364547,635545,8156,1271090,297,418,31512,68492,836,136984,"10mill-boot"
38,11,"petite","second",3778,4052,366082,633977,8104,1267954,259,416,27649,72446,832,144892,"10mill-boot"
38,12,"petite","second",3769,4023,366136,634009,8046,1268018,280,426,29216,70964,852,141928,"10mill-boot"
38,13,"petite","second",3722,4072,362728,637333,8144,1274666,259,440,26404,73660,880,147320,"10mill-boot"
38,14,"petite","second",3747,4065,363375,636729,8130,1273458,275,411,28795,71272,822,142544,"10mill-boot"
38,15,"petite","second",3855,4016,376860,623272,8032,1246544,296,416,31525,68575,832,137150,"10mill-boot"
38,16,"petite","second",3696,4119,359218,640888,8238,1281776,289,437,29155,70985,874,141970,"10mill-boot"
38,17,"petite","second",3672,4100,362003,638172,8200,1276344,293,422,30449,69692,844,139384,"10mill-boot"
38,18,"petite","second",3832,4012,372849,627181,8024,1254362,321,391,33491,66587,782,133174,"10mill-boot"
38,19,"petite","second",3688,4142,356284,643794,8284,1287588,288,408,30335,69733,816,139466,"10mill-boot"
38,20,"petite","second",3843,4042,369665,630385,8084,1260770,281,421,28993,71203,842,142406,"10mill-boot"
38,21,"petite","second",3764,4047,364597,635472,8094,1270944,299,404,32093,67964,808,135928,"10mill-boot"
38,22,"petite","second",3696,4078,356447,643709,8156,1287418,257,430,26392,73637,860,147274,"10mill-boot"
38,23,"petite","second",3710,4132,359185,640951,8264,1281902,278,428,29885,70254,856,140508,"10mill-boot"
