"sim_number","transfer","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","experiment"
5,24,"petite","second-15min",127,4596,17665,985476,4723,1003141,11,428,1578,98510,439,100088,"Equal Growth Rates"
5,25,"petite","second-15min",125,4578,17314,990346,4703,1007660,10,417,1206,98848,427,100054,"Equal Growth Rates"
5,26,"petite","second-15min",109,4586,15428,990839,4695,1006267,5,436,652,99510,441,100162,"Equal Growth Rates"
5,27,"petite","second-15min",59,4605,8020,999682,4664,1007702,3,429,527,99680,432,100207,"Equal Growth Rates"
5,28,"petite","second-15min",44,4641,5692,1004380,4685,1010072,2,437,337,99681,439,100018,"Equal Growth Rates"
5,29,"petite","second-15min",16,4645,2064,1003635,4661,1005699,1,434,103,99958,435,100061,"Equal Growth Rates"
31,1,"petite","second-15min",3844,2285,511251,501790,6129,1013041,275,243,41546,58566,518,100112,"Equal Growth Rates"
31,2,"petite","second-15min",3157,2632,425742,577914,5789,1003656,241,280,34668,65748,521,100416,"Equal Growth Rates"
31,3,"petite","second-15min",2656,2950,359536,639028,5606,998564,215,290,31394,68692,505,100086,"Equal Growth Rates"
31,4,"petite","second-15min",2503,3127,342022,674630,5630,1016652,158,334,22956,77130,492,100086,"Equal Growth Rates"
31,5,"petite","second-15min",1756,3601,237113,783084,5357,1020197,136,344,20001,80031,480,100032,"Equal Growth Rates"
31,6,"petite","second-15min",1586,3696,216979,794589,5282,1011568,127,348,18078,81973,475,100051,"Equal Growth Rates"
31,7,"petite","second-15min",1411,3806,190723,830951,5217,1021674,97,368,14671,85613,465,100284,"Equal Growth Rates"
31,8,"petite","second-15min",1181,3931,158993,860339,5112,1019332,80,374,11668,88481,454,100149,"Equal Growth Rates"
31,9,"petite","second-15min",921,4103,123381,879902,5024,1003283,69,388,9330,90751,457,100081,"Equal Growth Rates"
31,10,"petite","second-15min",718,4243,96101,921320,4961,1017421,62,392,8272,91785,454,100057,"Equal Growth Rates"
31,11,"petite","second-15min",656,4252,90380,926481,4908,1016861,45,409,7452,92587,454,100039,"Equal Growth Rates"
31,12,"petite","second-15min",557,4321,74508,949259,4878,1023767,43,392,6144,93873,435,100017,"Equal Growth Rates"
31,13,"petite","second-15min",467,4366,62674,951352,4833,1014026,25,412,3513,96596,437,100109,"Equal Growth Rates"
31,14,"petite","second-15min",271,4490,36738,969759,4761,1006497,12,421,1363,98732,433,100095,"Equal Growth Rates"
31,15,"petite","second-15min",109,4574,13971,996418,4683,1010389,5,437,679,99336,442,100015,"Equal Growth Rates"
31,16,"petite","second-15min",51,4614,6689,994968,4665,1001657,6,442,766,99557,448,100323,"Equal Growth Rates"
31,17,"petite","second-15min",57,4638,8028,1004507,4695,1012535,5,431,712,99299,436,100011,"Equal Growth Rates"
31,18,"petite","second-15min",56,4624,8194,1007839,4680,1016033,8,436,1323,98781,444,100104,"Equal Growth Rates"
31,19,"petite","second-15min",107,4578,13695,988724,4685,1002419,9,438,1257,99042,447,100299,"Equal Growth Rates"
31,20,"petite","second-15min",96,4580,12794,1000170,4676,1012964,6,428,829,99263,434,100092,"Equal Growth Rates"
31,21,"petite","second-15min",61,4614,7641,1001854,4675,1009495,5,427,662,99364,432,100026,"Equal Growth Rates"
31,22,"petite","second-15min",46,4613,6142,1003286,4659,1009428,6,438,987,99263,444,100250,"Equal Growth Rates"
31,23,"petite","second-15min",73,4613,9403,997720,4686,1007123,4,426,655,99487,430,100142,"Equal Growth Rates"
31,24,"petite","second-15min",53,4621,7292,1003529,4674,1010821,2,428,289,99740,430,100029,"Equal Growth Rates"
31,25,"petite","second-15min",27,4632,3633,1001917,4659,1005550,1,441,200,99966,442,100166,"Equal Growth Rates"
31,26,"petite","second-15min",19,4632,2793,1008869,4651,1011662,2,410,262,99868,412,100130,"Equal Growth Rates"
36,1,"petite","second-15min",3830,2288,511253,499899,6118,1011152,308,254,43958,56050,562,100008,"Equal Growth Rates"
36,2,"petite","second-15min",3419,2468,462650,536156,5887,998806,295,259,40744,59582,554,100326,"Equal Growth Rates"
36,3,"petite","second-15min",3091,2719,418074,590333,5810,1008407,246,292,35665,64640,538,100305,"Equal Growth Rates"
36,4,"petite","second-15min",2703,2939,361992,645511,5642,1007503,187,302,27098,72970,489,100068,"Equal Growth Rates"
36,5,"petite","second-15min",2111,3393,282822,737813,5504,1020635,158,328,22271,77776,486,100047,"Equal Growth Rates"
36,6,"petite","second-15min",1733,3623,235129,787868,5356,1022997,119,351,17154,82867,470,100021,"Equal Growth Rates"
