"sim_number","generation","diameter","experiment","experiment_name"
4,63,11,"slow_first_div","Slow First Division"
4,64,11,"slow_first_div","Slow First Division"
4,65,11,"slow_first_div","Slow First Division"
4,66,11,"slow_first_div","Slow First Division"
4,67,11,"slow_first_div","Slow First Division"
4,68,11,"slow_first_div","Slow First Division"
4,69,12,"slow_first_div","Slow First Division"
4,70,10,"slow_first_div","Slow First Division"
4,71,11,"slow_first_div","Slow First Division"
4,72,11,"slow_first_div","Slow First Division"
4,73,11,"slow_first_div","Slow First Division"
4,74,11,"slow_first_div","Slow First Division"
4,75,12,"slow_first_div","Slow First Division"
4,76,11,"slow_first_div","Slow First Division"
4,77,11,"slow_first_div","Slow First Division"
4,78,11,"slow_first_div","Slow First Division"
4,79,11,"slow_first_div","Slow First Division"
4,80,11,"slow_first_div","Slow First Division"
4,81,11,"slow_first_div","Slow First Division"
4,82,11,"slow_first_div","Slow First Division"
4,83,11,"slow_first_div","Slow First Division"
4,84,11,"slow_first_div","Slow First Division"
4,85,11,"slow_first_div","Slow First Division"
4,86,11,"slow_first_div","Slow First Division"
4,87,11,"slow_first_div","Slow First Division"
4,88,11,"slow_first_div","Slow First Division"
4,89,12,"slow_first_div","Slow First Division"
4,90,13,"slow_first_div","Slow First Division"
4,91,11,"slow_first_div","Slow First Division"
4,92,11,"slow_first_div","Slow First Division"
4,93,12,"slow_first_div","Slow First Division"
4,94,12,"slow_first_div","Slow First Division"
4,95,11,"slow_first_div","Slow First Division"
4,96,11,"slow_first_div","Slow First Division"
4,97,11,"slow_first_div","Slow First Division"
4,98,11,"slow_first_div","Slow First Division"
4,99,11,"slow_first_div","Slow First Division"
4,100,11,"slow_first_div","Slow First Division"
4,101,11,"slow_first_div","Slow First Division"
5,0,12,"slow_first_div","Slow First Division"
5,1,11,"slow_first_div","Slow First Division"
5,2,11,"slow_first_div","Slow First Division"
5,3,11,"slow_first_div","Slow First Division"
5,4,11,"slow_first_div","Slow First Division"
5,5,11,"slow_first_div","Slow First Division"
5,6,11,"slow_first_div","Slow First Division"
5,7,11,"slow_first_div","Slow First Division"
5,8,11,"slow_first_div","Slow First Division"
5,9,11,"slow_first_div","Slow First Division"
5,10,12,"slow_first_div","Slow First Division"
